datetime,seconds,operations,ops_per_sec
2024-05-05 22:54:56:918,10,10332,1032.99
2024-05-05 22:55:06:915,20,34185,2385.78
2024-05-05 22:55:16:915,30,62402,2821.7
2024-05-05 22:55:19:062,32,70000,3538.89
