datetime,seconds,operations,ops_per_sec
2024-05-05 18:28:47:561,10,12024,1202.16
2024-05-05 18:28:57:560,20,31615,1959.3
2024-05-05 18:29:07:561,30,46165,1455
2024-05-05 18:29:17:560,40,69391,2322.6
2024-05-05 18:29:17:772,40,70000,2886.26
