operationcount,"[OVERALL], RunTime(ms)","[OVERALL], Throughput(ops/sec)","[TOTAL_GCS_G1_Young_Generation], Count","[TOTAL_GC_TIME_G1_Young_Generation], Time(ms)","[TOTAL_GC_TIME_%_G1_Young_Generation], Time(%)","[TOTAL_GCS_G1_Old_Generation], Count","[TOTAL_GC_TIME_G1_Old_Generation], Time(ms)","[TOTAL_GC_TIME_%_G1_Old_Generation], Time(%)","[TOTAL_GCs], Count","[TOTAL_GC_TIME], Time(ms)","[TOTAL_GC_TIME_%], Time(%)","[READ], Operations","[READ], AverageLatency(us)","[READ], MinLatency(us)","[READ], MaxLatency(us)","[READ], 95thPercentileLatency(us)","[READ], 99thPercentileLatency(us)","[READ], Return=OK,","[CLEANUP], Operations,","[CLEANUP], AverageLatency(us),","[CLEANUP], MinLatency(us),","[CLEANUP], MaxLatency(us),","[CLEANUP], 95thPercentileLatency(us),","[CLEANUP], 99thPercentileLatency(us),","[UPDATE], Operations,","[UPDATE], AverageLatency(us),","[UPDATE], MinLatency(us),","[UPDATE], MaxLatency(us),","[UPDATE], 95thPercentileLatency(us)","[UPDATE], 99thPercentileLatency(us)","[UPDATE], Return=OK"
60000,37139,1615.552384,21,256,0.689302351,0,0,0,21,256,0.689302351,56997,9125.950734,1165,395007,20335,33119,56997,16,1338.4375,4,21327,19,21327,3003,9295.589744,1309,112767,20383,32671,3003
70000,40827,1714.551645,28,221,0.541308448,0,0,0,28,221,0.541308448,66405,8677.438717,785,368127,19919,32495,66405,16,956.8125,4,15207,21,15207,3595,9104.015299,988,409343,20687,32735,3595
80000,43926,1821.244821,31,233,0.530437554,0,0,0,31,233,0.530437554,75909,8210.414694,834,1716223,18719,31375,75909,16,981.625,3,15623,18,15623,4091,8946.086776,1062,1712127,19615,30575,4091
90000,50209,1792.507319,30,259,0.515843773,0,0,0,30,259,0.515843773,85482,8402.174352,1128,359935,18607,30639,85482,16,1710.5,4,27263,30,27263,4518,8477.931828,1297,364799,18591,28063,4518
100000,57097,1751.405503,37,283,0.495647757,0,0,0,37,283,0.495647757,95013,8602.098808,1085,427007,18559,31631,95013,16,2113.4375,4,33695,22,33695,4987,8696.970924,1320,421119,18607,30495,4987
