datetime,seconds,operations,ops_per_sec
2024-08-12 23:21:09:241,10,11061,1105.55
2024-08-12 23:21:19:236,20,33318,2226.81
2024-08-12 23:21:29:236,30,56230,2291.2
2024-08-12 23:21:33:436,34,70000,3277.79
