datetime,seconds,operations,ops_per_sec
2024-08-13 23:17:00:008,10,12461,1245.98
2024-08-13 23:17:10:010,20,34678,2221.26
2024-08-13 23:17:20:007,30,61125,2645.49
2024-08-13 23:17:27:795,37,90000,3707.63
