datetime,seconds,operations,ops_per_sec
2024-05-05 18:35:08:008,10,4899,489.85
2024-05-05 18:35:18:006,20,26086,2118.91
2024-05-05 18:35:28:006,30,49923,2383.46
2024-05-05 18:35:38:006,40,79084,2916.1
2024-05-05 18:35:39:638,41,80000,561.62
