datetime,seconds,operations,ops_per_sec
2024-08-13 22:54:52:697,10,11163,1116.19
2024-08-13 22:55:02:694,20,33609,2244.6
2024-08-13 22:55:12:694,30,65866,3226.02
2024-08-13 22:55:16:400,33,80000,3812.79
