operationcount,"[OVERALL], RunTime(ms)","[OVERALL], Throughput(ops/sec)","[TOTAL_GCS_G1_Young_Generation], Count","[TOTAL_GC_TIME_G1_Young_Generation], Time(ms)","[TOTAL_GC_TIME_%_G1_Young_Generation], Time(%)","[TOTAL_GCS_G1_Old_Generation], Count","[TOTAL_GC_TIME_G1_Old_Generation], Time(ms)","[TOTAL_GC_TIME_%_G1_Old_Generation], Time(%)","[TOTAL_GCs], Count","[TOTAL_GC_TIME], Time(ms)","[TOTAL_GC_TIME_%], Time(%)","[READ], Operations","[READ], AverageLatency(us)","[READ], MinLatency(us)","[READ], MaxLatency(us)","[READ], 95thPercentileLatency(us)","[READ], 99thPercentileLatency(us)","[READ], Return=OK,","[CLEANUP], Operations,","[CLEANUP], AverageLatency(us),","[CLEANUP], MinLatency(us),","[CLEANUP], MaxLatency(us),","[CLEANUP], 95thPercentileLatency(us),","[CLEANUP], 99thPercentileLatency(us),","[UPDATE], Operations,","[UPDATE], AverageLatency(us),","[UPDATE], MinLatency(us),","[UPDATE], MaxLatency(us),","[UPDATE], 95thPercentileLatency(us)","[UPDATE], 99thPercentileLatency(us)","[UPDATE], Return=OK"
60000,35159,1706.533178,23,240,0.682613271,0,0,0,23,240,0.682613271,56951,8532.048375,1032,441087,18607,30063,56951,16,1916.4375,4,30575,27,30575,3049,9304.489013,1333,416511,20127,32191,3049
70000,38543,1816.153387,27,134,0.347663648,0,0,0,27,134,0.347663648,66609,8156.173595,778,427263,18447,30399,66609,16,1010.8125,4,16079,19,16079,3391,8726.712769,912,427007,19519,31743,3391
80000,43153,1853.868792,30,250,0.579333998,0,0,0,30,250,0.579333998,76029,7990.17079,1034,377343,17231,28655,76029,16,2618.1875,4,41791,28,41791,3971,8613.838076,1152,395007,18175,29023,3971
90000,46946,1917.096238,35,261,0.555957909,0,0,0,35,261,0.555957909,85394,7767.463627,916,351743,17007,26879,85394,16,2314.625,4,36927,19,36927,4606,8256.533652,1188,182911,18127,28287,4606
100000,48739,2051.745009,33,271,0.556022897,0,0,0,33,271,0.556022897,94901,7338.262863,631,416255,16575,27871,94901,16,1075.5625,4,17103,31,17103,5099,7655.540694,1114,411135,16783,26959,5099
