datetime,seconds,operations,ops_per_sec
2024-08-12 23:09:30:697,10,11312,1130.52
2024-08-12 23:09:40:693,20,32897,2159.58
2024-08-12 23:09:50:693,30,57812,2491.5
2024-08-12 23:09:56:309,35,70000,2170.23
