datetime,seconds,operations,ops_per_sec
2024-08-13 23:12:44:142,10,12153,1215.18
2024-08-13 23:12:54:141,20,34254,2210.32
2024-08-13 23:13:04:141,30,59344,2509
2024-08-13 23:13:09:527,35,80000,3835.13
