operationcount,"[OVERALL], Throughput(ops/sec)","[INSERT], AverageLatency(us)","[SCAN], AverageLatency(us)"
60000,770.00077,16629.10196,20039.01583
70000,781.642566,16161.25007,19900.59801
80000,791.6402787,15139.10817,19755.69643
90000,805.5277102,14954.3762,19472.67135
100000,799.7632701,15495.81661,19609.71732
