datetime,seconds,operations,ops_per_sec
2024-08-14 18:21:34:392,10,10248,1024.6
2024-08-14 18:21:44:391,20,33017,2276.9
2024-08-14 18:21:54:390,30,57418,2440.59
2024-08-14 18:22:00:348,35,80000,3790.2
