operationcount,"[OVERALL], Throughput(ops/sec)","[READ], AverageLatency(us)","[READ-MODIFY-WRITE], AverageLatency(us)","[UPDATE], AverageLatency(us)"
60000,1028.013364,7461.2787,22243.34301,14751.09076
70000,1221.129021,8273.955829,16700.84357,8331.73312
80000,1255.827826,7164.242075,17342.57491,10062.62509
90000,1402.91807,6599.610656,15351.7693,8635.691096
100000,1360.840455,6634.86219,15994.87222,9328.732949
