datetime,seconds,operations,ops_per_sec
2024-05-05 22:44:04:905,10,9070,906.82
2024-05-05 22:44:14:909,20,32343,2326.6
2024-05-05 22:44:24:904,30,55128,2279.41
2024-05-05 22:44:34:905,40,79053,2392.5
2024-05-05 22:44:44:905,50,94399,1534.6
2024-05-05 22:44:50:141,55,100000,1069.71
