section,metric,value
OVERALL,RunTime(ms),55240
OVERALL,Throughput(ops/sec),1810.2824040550327
TOTAL_GC_TIME,Time(ms),343
CLEANUP,Operations,16
CLEANUP,AverageLatency(us),894.625
CLEANUP,MinLatency(us),4
CLEANUP,MaxLatency(us),14199
CLEANUP,95thPercentileLatency(us),29
CLEANUP,99thPercentileLatency(us),14199
INSERT,Operations,100000
INSERT,AverageLatency(us),8418.9072
INSERT,MinLatency(us),499
INSERT,MaxLatency(us),9117695
INSERT,95thPercentileLatency(us),16703
INSERT,99thPercentileLatency(us),27215
INSERT,Return=OK,100000
