datetime,seconds,operations,ops_per_sec
2024-05-05 21:41:32:393,10,10889,1088.68
2024-05-05 21:41:42:392,20,33262,2237.75
2024-05-05 21:41:52:392,30,56147,2288.27
2024-05-05 21:42:02:392,40,79580,2343.53
2024-05-05 21:42:08:661,46,100000,3256.78
