datetime,seconds,operations,ops_per_sec
2024-08-13 22:24:43:584,10,11047,1104.59
2024-08-13 22:24:53:584,20,34201,2315.63
2024-08-13 22:25:03:584,30,61454,2725.3
2024-08-13 22:25:06:055,32,70000,3457.12
