operationcount,"[OVERALL], RunTime(ms)","[OVERALL], Throughput(ops/sec)","[TOTAL_GCS_G1_Young_Generation], Count","[TOTAL_GC_TIME_G1_Young_Generation], Time(ms)","[TOTAL_GC_TIME_%_G1_Young_Generation], Time(%)","[TOTAL_GCS_G1_Old_Generation], Count","[TOTAL_GC_TIME_G1_Old_Generation], Time(ms)","[TOTAL_GC_TIME_%_G1_Old_Generation], Time(%)","[TOTAL_GCs], Count","[TOTAL_GC_TIME], Time(ms)","[TOTAL_GC_TIME_%], Time(%)","[CLEANUP], Operations,","[CLEANUP], AverageLatency(us),","[CLEANUP], MinLatency(us),","[CLEANUP], MaxLatency(us),","[CLEANUP], 95thPercentileLatency(us),","[CLEANUP], 99thPercentileLatency(us),","[INSERT], Operations,","[INSERT], AverageLatency(us),","[INSERT], MinLatency(us),","[INSERT], MaxLatency(us),","[INSERT], 95thPercentileLatency(us)","[INSERT], 99thPercentileLatency(us)","[INSERT], Return=OK"
60000,34634,1732.401686,13,178,0.513945834,0,0,0,13,178,0.513945834,16,2558.25,4,40863,16,40863,60000,8369.375417,975,415999,19023,31375,60000
70000,38148,1834.958582,17,207,0.542623466,0,0,0,17,207,0.542623466,16,2827.125,3,45151,22,45151,70000,8016.199929,918,383231,17903,29375,70000
80000,42973,1861.634049,17,329,0.765597003,0,0,0,17,329,0.765597003,16,2628.3125,3,41951,22,41951,80000,7952.954338,960,472319,17791,30015,80000
90000,54813,1641.946254,18,219,0.399540255,0,0,0,18,219,0.399540255,16,912.125,4,14487,20,14487,90000,9264.846144,715,6430719,16511,26319,90000
100000,48206,2074.430569,22,215,0.446002572,0,0,0,22,215,0.446002572,16,1267.1875,4,20175,31,20175,100000,7266.72653,624,965631,17103,29023,100000
