datetime,seconds,operations,ops_per_sec
2024-08-13 07:13:56:298,10,9279,927.62
2024-08-13 07:14:06:295,20,32755,2348.3
2024-08-13 07:14:16:295,30,53025,2027
2024-08-13 07:14:25:873,39,80000,2816.35
