datetime,seconds,operations,ops_per_sec
2024-08-13 08:09:16:662,10,9532,953.1
2024-08-13 08:09:26:663,20,33000,2346.57
2024-08-13 08:09:36:661,30,55551,2255.33
2024-08-13 08:09:38:991,32,60000,1909.44
