datetime,seconds,operations,ops_per_sec
2024-08-13 23:35:50:187,10,10609,1060.79
2024-08-13 23:36:00:187,20,35149,2454
2024-08-13 23:36:10:186,30,64339,2919.29
2024-08-13 23:36:20:193,40,98945,3457.83
2024-08-13 23:36:20:580,40,100000,2726.1
