datetime,seconds,operations,ops_per_sec
2024-08-13 23:24:39:185,10,9641,963.81
2024-08-13 23:24:49:183,20,32001,2236.67
2024-08-13 23:24:59:202,30,53736,2169.38
2024-08-13 23:25:09:183,40,78487,2479.81
2024-08-13 23:25:13:968,44,90000,2406.06
