datetime,seconds,operations,ops_per_sec
2024-08-14 18:57:34:022,10,10673,1067.19
2024-08-14 18:57:44:022,20,33276,2260.3
2024-08-14 18:57:54:022,30,57446,2417
2024-08-14 18:58:04:022,40,85578,2812.92
2024-08-14 18:58:05:317,41,90000,3417.31
