operationcount,"[OVERALL], RunTime(ms)","[OVERALL], Throughput(ops/sec)","[TOTAL_GCS_G1_Young_Generation], Count","[TOTAL_GC_TIME_G1_Young_Generation], Time(ms)","[TOTAL_GC_TIME_%_G1_Young_Generation], Time(%)","[TOTAL_GCS_G1_Old_Generation], Count","[TOTAL_GC_TIME_G1_Old_Generation], Time(ms)","[TOTAL_GC_TIME_%_G1_Old_Generation], Time(%)","[TOTAL_GCs], Count","[TOTAL_GC_TIME], Time(ms)","[TOTAL_GC_TIME_%], Time(%)","[READ], Operations","[READ], AverageLatency(us)","[READ], MinLatency(us)","[READ], MaxLatency(us)","[READ], 95thPercentileLatency(us)","[READ], 99thPercentileLatency(us)","[READ], Return=OK,","[CLEANUP], Operations,","[CLEANUP], AverageLatency(us),","[CLEANUP], MinLatency(us),","[CLEANUP], MaxLatency(us),","[CLEANUP], 95thPercentileLatency(us),","[CLEANUP], 99thPercentileLatency(us),","[INSERT], Operations,","[INSERT], AverageLatency(us),","[INSERT], MinLatency(us),","[INSERT], MaxLatency(us),","[INSERT], 95thPercentileLatency(us)","[INSERT], 99thPercentileLatency(us)","[INSERT], Return=OK"
60000,37473,1601.15283,22,229,0.611106663,0,0,0,22,229,0.611106663,56979,9184.443181,984,346367,22047,34783,56979,16,1508.8125,4,24063,19,24063,3021,10366.56504,1163,359167,24767,38047,3021
70000,43508,1608.899513,27,141,0.32407833,0,0,0,27,141,0.32407833,66526,9196.771307,993,1177599,20911,36319,66526,16,2340.9375,5,37343,17,37343,3474,10324.51813,1282,1148927,23279,35775,3474
80000,47559,1682.121155,31,178,0.374271957,0,0,0,31,178,0.374271957,76059,8909.848328,963,391423,21087,33279,76059,16,2195.0625,5,35007,30,35007,3941,9548.97082,1200,382207,22543,35903,3941
90000,62111,1449.018692,33,279,0.449195795,0,0,0,33,279,0.449195795,85516,8483.087972,728,470527,20303,32271,85516,16,1305.8125,4,20767,35,20767,4484,48732.66369,984,11051007,23711,42303,4484
100000,53544,1867.62289,33,270,0.50425818,0,0,0,33,270,0.50425818,94906,8095.457379,769,400895,19391,31663,94906,16,1132.625,6,18015,16,18015,5094,8757.320181,1014,111039,20975,37119,5094
