datetime,seconds,operations,ops_per_sec
2024-08-12 23:23:58:138,10,11888,1188.8
2024-08-12 23:24:08:138,20,32659,2076.89
2024-08-12 23:24:18:140,30,56584,2392.26
2024-08-12 23:24:22:868,34,70000,2836.96
