section,metric,value
OVERALL,RunTime(ms),39229
OVERALL,Throughput(ops/sec),2549.1345688138877
TOTAL_GC_TIME,Time(ms),304
CLEANUP,Operations,16
CLEANUP,AverageLatency(us),1029.4375
CLEANUP,MinLatency(us),4
CLEANUP,MaxLatency(us),16327
CLEANUP,95thPercentileLatency(us),29
CLEANUP,99thPercentileLatency(us),16327
INSERT,Operations,100000
INSERT,AverageLatency(us),5862.01679
INSERT,MinLatency(us),464
INSERT,MaxLatency(us),353535
INSERT,95thPercentileLatency(us),14903
INSERT,99thPercentileLatency(us),24799
INSERT,Return=OK,100000
