datetime,seconds,operations,ops_per_sec
2024-08-13 23:43:35:510,10,10210,1020.9
2024-08-13 23:43:45:509,20,31304,2109.61
2024-08-13 23:43:55:509,30,63553,3224.9
2024-08-13 23:44:04:737,39,100000,3949.18
