section,metric,value
OVERALL,RunTime(ms),29938
OVERALL,Throughput(ops/sec),2004.1418932460417
TOTAL_GC_TIME,Time(ms),167
CLEANUP,Operations,16
CLEANUP,AverageLatency(us),1025.75
CLEANUP,MinLatency(us),4
CLEANUP,MaxLatency(us),16327
CLEANUP,95thPercentileLatency(us),23
CLEANUP,99thPercentileLatency(us),16327
INSERT,Operations,60000
INSERT,AverageLatency(us),7320.807266666667
INSERT,MinLatency(us),603
INSERT,MaxLatency(us),550399
INSERT,95thPercentileLatency(us),17567
INSERT,99thPercentileLatency(us),26271
INSERT,Return=OK,60000
