datetime,seconds,operations,ops_per_sec
2024-08-14 18:09:45:953,10,11097,1109.48
2024-08-14 18:09:55:955,20,35075,2397.56
2024-08-14 18:10:05:952,30,68638,3356.97
2024-08-14 18:10:06:510,30,70000,2445.24
