datetime,seconds,operations,ops_per_sec
2024-05-05 22:27:20:729,10,9639,963.8
2024-05-05 22:27:30:729,20,26473,1683.57
2024-05-05 22:27:40:729,30,45145,1867.01
2024-05-05 22:27:50:729,40,72875,2773.28
2024-05-05 22:27:55:514,44,90000,3578.14
