operationcount,"[OVERALL], RunTime(ms)","[OVERALL], Throughput(ops/sec)","[TOTAL_GCS_G1_Young_Generation], Count","[TOTAL_GC_TIME_G1_Young_Generation], Time(ms)","[TOTAL_GC_TIME_%_G1_Young_Generation], Time(%)","[TOTAL_GCS_G1_Old_Generation], Count","[TOTAL_GC_TIME_G1_Old_Generation], Time(ms)","[TOTAL_GC_TIME_%_G1_Old_Generation], Time(%)","[TOTAL_GCs], Count","[TOTAL_GC_TIME], Time(ms)","[TOTAL_GC_TIME_%], Time(%)","[READ], Operations","[READ], AverageLatency(us)","[READ], MinLatency(us)","[READ], MaxLatency(us)","[READ], 95thPercentileLatency(us)","[READ], 99thPercentileLatency(us)","[READ], Return=OK,","[CLEANUP], Operations,","[CLEANUP], AverageLatency(us),","[CLEANUP], MinLatency(us),","[CLEANUP], MaxLatency(us),","[CLEANUP], 95thPercentileLatency(us),","[CLEANUP], 99thPercentileLatency(us),","[INSERT], Operations,","[INSERT], AverageLatency(us),","[INSERT], MinLatency(us),","[INSERT], MaxLatency(us),","[INSERT], 95thPercentileLatency(us)","[INSERT], 99thPercentileLatency(us)","[INSERT], Return=OK"
60000,33768,1776.830135,22,216,0.639658849,0,0,0,22,216,0.639658849,57021,8183.218919,735,397055,19103,31391,57021,16,1661.3125,4,26495,19,26495,2979,9178.16717,995,414975,21599,36127,2979
70000,39304,1780.989212,28,210,0.534296764,0,0,0,28,210,0.534296764,66399,8229.03869,987,367359,18831,30687,66399,16,2649.9375,5,42303,19,42303,3601,8673.295473,1086,184703,20159,31423,3601
80000,41844,1911.863111,31,131,0.313067584,0,0,0,31,131,0.313067584,75894,7722.043192,830,373247,17375,28415,75894,16,2248.0625,4,35871,18,35871,4106,8130.347053,1103,161919,18767,31679,4106
90000,47454,1896.573524,31,242,0.509967548,0,0,0,31,242,0.509967548,85523,7321.468891,679,307967,16847,28895,85523,16,1131.625,4,17983,35,17983,4477,19411.62542,899,2121727,22735,220287,4477
100000,50692,1972.697862,37,164,0.323522449,0,0,0,37,164,0.323522449,94838,7414.086706,588,381439,16751,26479,94838,16,1046,4,16639,19,16639,5162,12006.38144,777,1037823,19999,72319,5162
