datetime,seconds,operations,ops_per_sec
2024-08-14 18:42:07:042,10,10266,1026.5
2024-08-14 18:42:17:041,20,32538,2227.42
2024-08-14 18:42:27:043,30,57196,2465.06
2024-08-14 18:42:34:718,37,80000,2971.59
