section,metric,value
OVERALL,RunTime(ms),37682
OVERALL,Throughput(ops/sec),2123.0295631866675
TOTAL_GC_TIME,Time(ms),207
CLEANUP,Operations,16
CLEANUP,AverageLatency(us),961.0625
CLEANUP,MinLatency(us),4
CLEANUP,MaxLatency(us),15271
CLEANUP,95thPercentileLatency(us),18
CLEANUP,99thPercentileLatency(us),15271
INSERT,Operations,80000
INSERT,AverageLatency(us),7027.3647
INSERT,MinLatency(us),469
INSERT,MaxLatency(us),349183
INSERT,95thPercentileLatency(us),16623
INSERT,99thPercentileLatency(us),26063
INSERT,Return=OK,80000
