datetime,seconds,operations,ops_per_sec
2024-08-13 07:44:50:198,10,11886,1188.36
2024-08-13 07:45:00:199,20,32959,2107.09
2024-08-13 07:45:10:197,30,57762,2481.04
2024-08-13 07:45:20:197,40,93111,3534.55
2024-08-13 07:45:22:034,41,100000,3750.14
