datetime,seconds,operations,ops_per_sec
2024-05-05 21:52:51:079,10,11122,1111.98
2024-05-05 21:53:01:078,20,30822,1970.2
2024-05-05 21:53:11:077,30,52099,2127.91
2024-05-05 21:53:21:077,40,81758,2965.9
2024-05-05 21:53:31:077,50,84368,260.97
2024-05-05 21:53:32:831,51,90000,3210.95
