datetime,seconds,operations,ops_per_sec
2024-08-12 23:14:12:324,10,9387,938.61
2024-08-12 23:14:22:324,20,31865,2248.02
2024-08-12 23:14:32:329,30,57078,2520.04
2024-08-12 23:14:38:004,35,70000,2277
