datetime,seconds,operations,ops_per_sec
2024-08-13 23:28:23:272,10,9675,967.4
2024-08-13 23:28:33:271,20,32594,2291.9
2024-08-13 23:28:43:271,30,55343,2275.13
2024-08-13 23:28:53:271,40,72814,1747.1
2024-08-13 23:28:58:679,45,90000,3177.3
