datetime,seconds,operations,ops_per_sec
2024-08-13 07:53:40:654,10,9949,994.8
2024-08-13 07:53:50:655,20,31677,2172.58
2024-08-13 07:54:00:653,30,61949,3027.81
2024-08-13 07:54:10:528,39,100000,3852.88
