section,metric,value
OVERALL,RunTime(ms),39876
OVERALL,Throughput(ops/sec),2507.774099709098
TOTAL_GC_TIME,Time(ms),244
CLEANUP,Operations,16
CLEANUP,AverageLatency(us),1045.6875
CLEANUP,MinLatency(us),5
CLEANUP,MaxLatency(us),16623
CLEANUP,95thPercentileLatency(us),29
CLEANUP,99thPercentileLatency(us),16623
INSERT,Operations,100000
INSERT,AverageLatency(us),5976.55018
INSERT,MinLatency(us),494
INSERT,MaxLatency(us),538111
INSERT,95thPercentileLatency(us),15135
INSERT,99thPercentileLatency(us),24239
INSERT,Return=OK,100000
