datetime,seconds,operations,ops_per_sec
2024-08-13 23:32:28:400,10,12321,1231.85
2024-08-13 23:32:38:398,20,36359,2404.04
2024-08-13 23:32:48:398,30,70125,3376.94
2024-08-13 23:32:56:161,37,100000,3848.38
