operationcount,"[OVERALL], Throughput(ops/sec)","[INSERT], AverageLatency(us)","[SCAN], AverageLatency(us)"
60000,87.76459196,696.5821393,11917.93893
70000,65.56191714,885.5180079,15977.86917
80000,78.61063563,752.1490699,13308.35373
90000,91.92979015,652.4997727,11372.37958
100000,95.84649226,624.6672687,10918.49088
