datetime,seconds,operations,ops_per_sec
2024-08-14 18:28:23:363,10,9981,997.3
2024-08-14 18:28:33:355,20,31090,2112.59
2024-08-14 18:28:43:356,30,56208,2511.55
2024-08-14 18:28:52:194,38,80000,2691.71
