datetime,seconds,operations,ops_per_sec
2024-08-14 20:41:34:277,10,12422,1239.72
2024-08-14 20:41:44:257,20,35692,2331.66
2024-08-14 20:41:54:257,30,72640,3694.8
2024-08-14 20:42:01:284,37,100000,3893
