datetime,seconds,operations,ops_per_sec
2024-05-05 17:29:51:734,10,9867,986.6
2024-05-05 17:30:01:734,20,26435,1656.97
2024-05-05 17:30:11:734,30,50876,2444.1
2024-05-05 17:30:15:832,34,60000,2226.45
