datetime,seconds,operations,ops_per_sec
2024-08-14 18:48:14:765,10,11221,1121.65
2024-08-14 18:48:24:763,20,33100,2188.34
2024-08-14 18:48:34:763,30,54569,2147.11
2024-08-14 18:48:44:762,40,89438,3486.9
2024-08-14 18:48:45:097,40,90000,1677.61
