datetime,seconds,operations,ops_per_sec
2024-08-12 22:57:25:562,10,9967,996.6
2024-08-12 22:57:35:561,20,33574,2360.94
2024-08-12 22:57:45:565,30,58178,2459.42
2024-08-12 22:57:46:145,30,60000,3141.38
