datetime,seconds,operations,ops_per_sec
2024-08-14 17:47:07:123,10,10196,1019.5
2024-08-14 17:47:17:122,20,33998,2380.44
2024-08-14 17:47:27:122,30,57374,2337.37
2024-08-14 17:47:28:510,31,60000,1893.29
