datetime,seconds,operations,ops_per_sec
2024-08-14 18:06:44:104,10,10902,1090.09
2024-08-14 18:06:54:101,20,33935,2303.53
2024-08-14 18:07:04:103,30,61120,2717.68
2024-08-14 18:07:06:777,32,70000,3322.11
