datetime,seconds,operations,ops_per_sec
2024-08-13 07:39:04:752,10,10143,1014.1
2024-08-13 07:39:14:751,20,32336,2219.52
2024-08-13 07:39:24:753,30,56086,2374.76
2024-08-13 07:39:34:755,40,80153,2405.98
2024-08-13 07:39:38:837,44,90000,2412.89
