datetime,seconds,operations,ops_per_sec
2024-08-13 23:08:10:942,10,10467,1046.6
2024-08-13 23:08:20:942,20,33848,2338.33
2024-08-13 23:08:30:942,30,56652,2280.4
2024-08-13 23:08:40:514,39,80000,2438.94
