datetime,seconds,operations,ops_per_sec
2024-08-14 20:37:29:330,10,9587,958.51
2024-08-14 20:37:39:329,20,32563,2297.83
2024-08-14 20:37:49:328,30,63349,3078.91
2024-08-14 20:37:58:774,39,100000,3880.06
