datetime,seconds,operations,ops_per_sec
2024-08-13 18:33:26:259,10,9892,989.1
2024-08-13 18:33:36:258,20,31041,2115.11
2024-08-13 18:33:46:259,30,57857,2681.33
2024-08-13 18:33:46:964,30,60000,3035.41
