datetime,seconds,operations,ops_per_sec
2024-08-14 20:45:20:810,10,10563,1056.19
2024-08-14 20:45:30:813,20,33467,2289.71
2024-08-14 20:45:40:810,30,54393,2093.23
2024-08-14 20:45:50:811,40,77675,2327.97
2024-08-14 20:45:58:090,47,100000,3066.62
