datetime,seconds,operations,ops_per_sec
2024-08-14 20:33:36:433,10,10076,1007.5
2024-08-14 20:33:46:432,20,32591,2251.5
2024-08-14 20:33:56:432,30,64790,3219.9
2024-08-14 20:34:02:912,36,90000,3890.43
