datetime,seconds,operations,ops_per_sec
2024-08-13 07:19:36:254,10,9694,969.4
2024-08-13 07:19:46:249,20,31112,2141.59
2024-08-13 07:19:56:250,30,55409,2429.46
2024-08-13 07:20:05:646,39,80000,2617.46
