operationcount,"[OVERALL], Throughput(ops/sec)","[READ], AverageLatency(us)","[READ-MODIFY-WRITE], AverageLatency(us)","[UPDATE], AverageLatency(us)"
60000,2351.92662,262.6915333,552.493468,281.5778178
70000,2363.667061,262.9736714,554.1920935,280.3253735
80000,2530.044276,246.532625,513.1053936,260.2884115
90000,2593.435726,243.3914667,503.2540309,254.3771873
100000,2619.30955,241.24181,499.1616222,252.1557917
