datetime,seconds,operations,ops_per_sec
2024-05-05 23:30:20:453,10,9658,965.03
2024-05-05 23:30:30:447,20,32739,2309.49
2024-05-05 23:30:40:448,30,55602,2285.84
2024-05-05 23:30:50:445,40,79422,2382.71
2024-05-05 23:30:57:642,47,100000,2859.64
