datetime,seconds,operations,ops_per_sec
2024-08-14 18:36:55:717,10,10904,1090.29
2024-08-14 18:37:05:719,20,33160,2225.15
2024-08-14 18:37:15:716,30,67099,3394.92
2024-08-14 18:37:19:100,33,80000,3812.35
