datetime,seconds,operations,ops_per_sec
2024-05-05 22:14:19:915,10,10691,1068.57
2024-05-05 22:14:29:911,20,33195,2251.3
2024-05-05 22:14:39:910,30,56036,2284.1
2024-05-05 22:14:45:631,35,70000,2441.26
