datetime,seconds,operations,ops_per_sec
2024-08-12 23:04:17:672,10,8701,869.93
2024-08-12 23:04:27:673,20,30053,2134.99
2024-08-12 23:04:37:674,30,52188,2213.28
2024-08-12 23:04:41:139,33,60000,2253.89
